Strategy,Ann. Return (%),Ann. Vol (%),Sharpe,Active Return (%),Track. Error (%),Info Ratio,t-stat,Max DD (%)
BL.Inflation,9.733352828227115,5.0503883967352845,1.9272483745050248,5.472147092007414,3.5818200820099384,1.5277559918466697,10.417906902731861,-10.72254321861853
BL.ShortRate,9.6901835929601,5.100989102097932,1.8996675740739626,5.435109561038603,3.5713997904681243,1.5218429411192274,10.377585272629684,-10.110593620838326
BL.Momentum,9.432061355295174,5.130104279843558,1.8385710778539581,5.197499692386699,3.5132850836120872,1.4793845556771705,10.088057685019969,-7.670510060956892
BL.Volatility,9.217716704783175,4.823365753334434,1.911054889090857,4.986091072217571,3.5742705225284466,1.3949954377517007,9.512600623262008,-11.004706792140173
BL.FactorSpread,9.23154080044537,5.002033921227283,1.8455574164079938,5.008103894945607,3.6142043197507365,1.3856725995200527,9.449027342394597,-13.075298868980544
BL.Value,8.513640127896238,4.758150275410394,1.7892751668424198,4.331471871553733,3.276473578443489,1.321992003857827,9.014783575287733,-12.524227585728486
BL.YieldCurve,7.614629938637507,4.3810012679115005,1.7381026557583112,3.4767766647134852,2.735877861980961,1.2708084352113813,8.665758170737547,-11.414565536693777
BL.CFNAI,7.233033693472035,4.650652782748059,1.5552727824153008,3.132520347259972,3.0652020093685497,1.0219621211540606,6.968852547868075,-12.531598279272638
BL.VIX,6.002388439109385,3.9590321627996334,1.51612520239411,1.9415167665795177,2.2357171969058394,0.8684089245574146,5.921759350199051,-8.400873266254605
BL.TED,5.386471797185299,3.7817589433441268,1.424329757100319,1.3494227652840034,1.7353319458532173,0.777616506460686,5.302637602843106,-8.284001521145834
BL.LongRate,5.356411913563042,3.706539584122903,1.4451247024333496,1.3179454856974704,1.7453677767899238,0.7551104719725217,5.149166909028997,-8.649466580446308
BL.M2Growth,5.167781531872961,3.608783487537509,1.4320009913920468,1.1344328913662676,1.526808648313562,0.7430092124637273,5.0666473210573395,-9.297208620041253
BL.SKEW,5.117839847069927,3.71193443481608,1.378752760034542,1.0905516308687029,1.4983661284197054,0.7278272047025545,4.963119830871378,-13.840142346446571
BL.EPU,4.396339249437697,3.4218664059221298,1.2847781672098812,0.38891279348502383,0.8714584776193259,0.44627805394408054,3.0432105935333125,-11.307125376805915
BL.BudgetBal,3.9959568143883795,3.3214738826202086,1.2030673597337131,0.0,0.0,,0.0,-11.307125376805915
